C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,OTL+MP:10,C,C,C,C,C,C,C,C
W,W,W,W,W,W,W,W,W,W,,,,,TPTL,,,OML,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,,,,,MPTL,,,OML,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,,,,,MPTL,,,OML,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,,,,,BPTL:PT13|PT14,,,OBL,,,,,,,,W
W,P3,P1,P2,W,W,W,W,P1,P2,,OTL,W,W,W,W,W,W,W,OTL,P1,P2,P3,P1,P2,W
W,,,,W,W,W,W,,,,OML,W,W,W,W,W,W,W,OML,,,,,,W
W,,,,W,W,W,W,,,,OML,W,W,W,W,W,W,W,OML,,,,,,W
W,,,,W,W,W,W,,,,OML,W,W,W,W,W,W,W,OML,,,,,,W
W,M:8,,,W,W,W,W,,,,OBL,W,W,W,W,W,W,W,OBL,,,,,,W
W,P1,P2,OTL,P3,P1,P2,P3,OTL,W,W,W,W,W,W,W,W,W,W,W,W,OTL,,,,W
W,,,OML,,,,,OML,W,W,W,W,W,W,W,W,W,W,W,W,OML,,,,W
W,,,OML,,,,,OML,W,W,W,W,W,W,W,W,W,W,W,W,OML,,,,W
W,,,OML,,,,,OML,W,W,W,W,W,W,W,W,W,W,W,W,OML,,,,W
W,,,OBL,,,,,OBL,W,W,W,W,W,W,W,W,W,W,W,W,OBL,,,,W
W,P3,P3,P2,P1,P2,OTL,W,W,W,W,W,W,W,W,P1,P3,P2,W,W,W,W,P1,P2,OTL,W
W,,,,,,OML,W,W,W,W,W,W,W,W,,,,W,W,W,W,,,OML,W
W,,,,,,OML,W,W,W,W,W,W,W,W,,,,W,W,W,W,,,OML,W
W,,,,,,OML,W,W,W,W,W,W,W,W,,,,W,W,W,W,,,OML,W
W,,,,,,OBL,W,W,W,W,W,W,W,W,M:7,,,W,W,W,W,,,OBL,W
W,P2,P1,P1,P2,P3,P1,P2,P1,P3,W,W,W,W,W,W,P1,OTL,P2,P3,P1,P2,OTL,P3,P2,W
W,,,,,,,TPTL,,,W,W,W,W,W,W,,OML,,,,,OML,,,W
W,,,,,,,MPTL,,,W,W,W,W,W,W,,OML,,,,,OML,,,W
W,,,,,,,MPTL,,,W,W,W,W,W,W,,OML,,,,,OML,,,W
W,,,,,,,BPTL:PT4|3,,,W,W,W,W,W,W,,OBL,,,,,OBL,,,W
W,P1,P2,P3,P3,P1,P2,P3,P1,OTL,P2,P1,P3,P2,P1,P3,P2,P3,P3,P1,OTL,P1,P2,P1,P3,W
W,,,,,,,,,OML,,,,,,,,,,,OML,,,,,W
W,,,,,,,,,OML,,,,,,,,,,,OML,,,,,W
W,,,,,,,,,OML,,,,,,,,,,,OML,,,,,W
W,,,,,,,,,OBL,,,,,PL,,,,,,OBL,,,,,W
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
